"","ASSEMBLY_PIPELINE","ASSEMBLY_QUALITY","ct_round","count","fraction",".group"
"1","amplicon_sorter","Failed",14,1,0.0153846153846154,4
"2","amplicon_sorter","Failed",16,2,0.013986013986014,6
"3","amplicon_sorter","Failed",17,5,0.0276243093922652,7
"4","amplicon_sorter","Failed",18,7,0.0296610169491525,8
"5","amplicon_sorter","Failed",19,4,0.0149253731343284,9
"6","amplicon_sorter","Failed",20,9,0.0296052631578947,10
"7","amplicon_sorter","Failed",21,8,0.0303030303030303,11
"8","amplicon_sorter","Failed",22,7,0.0240549828178694,12
"9","amplicon_sorter","Failed",23,11,0.046218487394958,13
"10","amplicon_sorter","Failed",24,18,0.0904522613065327,14
"11","amplicon_sorter","Failed",25,14,0.0765027322404372,15
"12","amplicon_sorter","Failed",26,19,0.139705882352941,16
"13","amplicon_sorter","Failed",27,17,0.154545454545455,17
"14","amplicon_sorter","Failed",28,19,0.27536231884058,18
"15","amplicon_sorter","Failed",29,20,0.416666666666667,19
"16","amplicon_sorter","Failed",30,11,0.305555555555556,20
"17","amplicon_sorter","Failed",31,8,0.571428571428571,21
"18","amplicon_sorter","Failed",32,4,0.333333333333333,22
"19","amplicon_sorter","Failed",33,4,0.666666666666667,23
"20","amplicon_sorter","Failed",34,1,0.25,24
"21","amplicon_sorter","Failed",35,1,0.333333333333333,25
"22","amplicon_sorter","Failed",37,3,0.3,27
"23","amplicon_sorter","Failed",38,1,0.142857142857143,28
"24","amplicon_sorter","Failed",39,2,0.4,29
"25","amplicon_sorter","Failed",40,1,1,30
"26","amplicon_sorter","Passed",11,1,1,1
"27","amplicon_sorter","Passed",12,6,1,2
"28","amplicon_sorter","Passed",13,21,1,3
"29","amplicon_sorter","Passed",14,64,0.984615384615385,4
"30","amplicon_sorter","Passed",15,97,1,5
"31","amplicon_sorter","Passed",16,141,0.986013986013986,6
"32","amplicon_sorter","Passed",17,176,0.972375690607735,7
"33","amplicon_sorter","Passed",18,229,0.970338983050847,8
"34","amplicon_sorter","Passed",19,264,0.985074626865672,9
"35","amplicon_sorter","Passed",20,295,0.970394736842105,10
"36","amplicon_sorter","Passed",21,256,0.96969696969697,11
"37","amplicon_sorter","Passed",22,284,0.975945017182131,12
"38","amplicon_sorter","Passed",23,227,0.953781512605042,13
"39","amplicon_sorter","Passed",24,181,0.909547738693467,14
"40","amplicon_sorter","Passed",25,169,0.923497267759563,15
"41","amplicon_sorter","Passed",26,117,0.860294117647059,16
"42","amplicon_sorter","Passed",27,93,0.845454545454545,17
"43","amplicon_sorter","Passed",28,50,0.72463768115942,18
"44","amplicon_sorter","Passed",29,28,0.583333333333333,19
"45","amplicon_sorter","Passed",30,25,0.694444444444444,20
"46","amplicon_sorter","Passed",31,6,0.428571428571429,21
"47","amplicon_sorter","Passed",32,8,0.666666666666667,22
"48","amplicon_sorter","Passed",33,2,0.333333333333333,23
"49","amplicon_sorter","Passed",34,3,0.75,24
"50","amplicon_sorter","Passed",35,2,0.666666666666667,25
"51","amplicon_sorter","Passed",36,5,1,26
"52","amplicon_sorter","Passed",37,7,0.7,27
"53","amplicon_sorter","Passed",38,6,0.857142857142857,28
"54","amplicon_sorter","Passed",39,3,0.6,29
